year,n_respondents,source,survey,pct_asian,pct_black,pct_college_grad,pct_hispanic_origin,pct_hispanic_race,pct_male,pct_white,mean_ideo5,pct_conservative,pct_democrat,pct_independent,pct_lean_dem,pct_lean_rep,pct_liberal,pct_moderate,pct_pure_ind,pct_republican,pct_strong_dem,pct_strong_rep,pct_approve_pres,pct_approve_rep,pct_disapprove_pres,pct_disapprove_rep,pct_somewhat_approve_pres,pct_somewhat_disapprove_pres,pct_strongly_approve_pres,pct_strongly_disapprove_pres,pct_economy_better,pct_economy_much_better,pct_economy_much_worse,pct_economy_same,pct_economy_worse,abortion_20weeks_n,abortion_20weeks_pct_oppose,abortion_20weeks_pct_support,abortion_always_n,abortion_always_pct_oppose,abortion_always_pct_support,abortion_conditional_n,abortion_conditional_pct_oppose,abortion_conditional_pct_support,abortion_coverage_n,abortion_coverage_pct_oppose,abortion_coverage_pct_support,abortion_expenditures_n,abortion_expenditures_pct_oppose,abortion_expenditures_pct_support,abortion_prohibition_n,abortion_prohibition_pct_oppose,abortion_prohibition_pct_support,abortion_scale_mean,abortion_scale_n,abortion_scale_pct_always_allow,abortion_scale_pct_never_permit,abortion_scale_pct_other_cases,abortion_scale_pct_rape_incest,affirmativeaction_mean,affirmativeaction_n,affirmativeaction_pct_somewhat_oppose,affirmativeaction_pct_somewhat_support,affirmativeaction_pct_strongly_oppose,affirmativeaction_pct_strongly_support,affirmativeaction_scale_mean,affirmativeaction_scale_n,affirmativeaction_scale_pct_mid,affirmativeaction_scale_pct_oppose,affirmativeaction_scale_pct_support,enviro_airwateracts_n,enviro_airwateracts_pct_oppose,enviro_airwateracts_pct_support,enviro_carbon_n,enviro_carbon_pct_oppose,enviro_carbon_pct_support,enviro_mpg_raise_n,enviro_mpg_raise_pct_oppose,enviro_mpg_raise_pct_support,enviro_renewable_n,enviro_renewable_pct_oppose,enviro_renewable_pct_support,enviro_scale_mean,enviro_scale_n,enviro_scale_pct_1,enviro_scale_pct_2,enviro_scale_pct_3,enviro_scale_pct_4,enviro_scale_pct_5,enviro_vs_jobs_mean,enviro_vs_jobs_n,enviro_vs_jobs_pct_1,enviro_vs_jobs_pct_2,enviro_vs_jobs_pct_3,enviro_vs_jobs_pct_4,enviro_vs_jobs_pct_5,enviro_vs_jobs_pct_6,gaymarriage_ban_n,gaymarriage_ban_pct_oppose,gaymarriage_ban_pct_support,gaymarriage_legalize_n,gaymarriage_legalize_pct_oppose,gaymarriage_legalize_pct_support,gaymarriage_scale_mean,gaymarriage_scale_n,gaymarriage_scale_pct_1,gaymarriage_scale_pct_2,gaymarriage_scale_pct_3,gaymarriage_scale_pct_4,gaymarriage_scale_pct_5,guns_assaultban_n,guns_assaultban_pct_oppose,guns_assaultban_pct_support,guns_bgchecks_n,guns_bgchecks_pct_oppose,guns_bgchecks_pct_support,guns_names_n,guns_names_pct_oppose,guns_names_pct_support,guns_permits_n,guns_permits_pct_oppose,guns_permits_pct_support,guns_scale_mean,guns_scale_n,guns_scale_pct_1,guns_scale_pct_2,guns_scale_pct_3,healthcare_aca_n,healthcare_aca_pct_oppose,healthcare_aca_pct_support,healthcare_acamandate_n,healthcare_acamandate_pct_oppose,healthcare_acamandate_pct_support,healthcare_medicare_n,healthcare_medicare_pct_oppose,healthcare_medicare_pct_support,healthcare_medicareage_n,healthcare_medicareage_pct_oppose,healthcare_medicareage_pct_support,immig_border_n,immig_border_pct_oppose,immig_border_pct_support,immig_deport_n,immig_deport_pct_oppose,immig_deport_pct_support,immig_employer_n,immig_employer_pct_oppose,immig_employer_pct_support,immig_legalize_n,immig_legalize_pct_oppose,immig_legalize_pct_support,immig_police_n,immig_police_pct_oppose,immig_police_pct_support,immig_reduce_n,immig_reduce_pct_oppose,immig_reduce_pct_support,immig_report_n,immig_report_pct_oppose,immig_report_pct_support,immig_services_n,immig_services_pct_oppose,immig_services_pct_support,immig_wall_n,immig_wall_pct_oppose,immig_wall_pct_support,incometax_vs_salestax_mean,incometax_vs_salestax_median,incometax_vs_salestax_n,military_democracy_n,military_democracy_pct_oppose,military_democracy_pct_support,military_genocide_n,military_genocide_pct_oppose,military_genocide_pct_support,military_helpun_n,military_helpun_pct_oppose,military_helpun_pct_support,military_oil_n,military_oil_pct_oppose,military_oil_pct_support,military_protectallies_n,military_protectallies_pct_oppose,military_protectallies_pct_support,military_terroristcamp_n,military_terroristcamp_pct_oppose,military_terroristcamp_pct_support,spending_cuts_least_n,spending_cuts_least_pct_1,spending_cuts_least_pct_2,spending_cuts_least_pct_3,spending_cuts_least_pct_4,spending_cuts_most_n,spending_cuts_most_pct_1,spending_cuts_most_pct_2,spending_cuts_most_pct_3,spending_cuts_most_pct_4,spending_education_mean,spending_education_n,spending_education_val_1,spending_education_val_2,spending_education_val_3,spending_education_val_4,spending_education_val_5,spending_healthcare_mean,spending_healthcare_n,spending_healthcare_val_1,spending_healthcare_val_2,spending_healthcare_val_3,spending_healthcare_val_4,spending_healthcare_val_5,spending_infrastructure_mean,spending_infrastructure_n,spending_infrastructure_val_1,spending_infrastructure_val_2,spending_infrastructure_val_3,spending_infrastructure_val_4,spending_infrastructure_val_5,spending_police_mean,spending_police_n,spending_police_val_1,spending_police_val_2,spending_police_val_3,spending_police_val_4,spending_police_val_5,spending_vs_tax_mean,spending_vs_tax_median,spending_vs_tax_n,spending_welfare_mean,spending_welfare_n,spending_welfare_val_1,spending_welfare_val_2,spending_welfare_val_3,spending_welfare_val_4,spending_welfare_val_5,trade_canmex_except_n,trade_canmex_except_pct_oppose,trade_canmex_except_pct_support,trade_canmex_include_n,trade_canmex_include_pct_oppose,trade_canmex_include_pct_support,trade_china_n,trade_china_pct_oppose,trade_china_pct_support
2006,36421,CES,Cooperative Election Study (CES) Common Content,0.7,10.1,24.4,0.0,9.3,47.8,76.0,3.18,37.1,34.3,33.0,26.7,23.7,22.8,40.1,11.3,32.7,19.7,18.7,40.4,60.0,59.6,40.0,22.0,9.6,18.4,50.0,36.5,15.8,13.9,21.2,42.3,,,,,,,,,,,,,,,,,,,2.99,33986.0,46.8,10.3,16.1,26.9,,,,,,,4.51,36266.0,18.3,48.9,32.8,,,,,,,,,,,,,2.2,16271.0,35.0,26.4,22.4,16.2,0.0,2.73,36166.0,23.7,24.7,22.5,17.3,8.3,3.6,,,,,,,2.66,16236.0,36.0,9.7,9.0,42.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,40.0,26766.0,36357.0,77.2,22.8,36357.0,47.4,52.6,36357.0,45.0,55.0,36357.0,79.5,20.5,36357.0,19.6,80.4,36357.0,29.1,70.9,29154.0,23.6,11.2,27.2,38.0,30098.0,30.9,48.4,16.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,53.0,28340.0,,,,,,,,,,,,,,,,
2007,9999,CES,Cooperative Election Study (CES) Common Content,0.9,5.6,47.0,0.0,4.5,53.1,83.6,3.14,38.5,33.7,34.6,27.5,22.6,29.2,32.2,9.3,31.7,21.2,19.4,33.6,53.6,66.4,46.4,23.1,11.8,10.5,54.6,14.2,2.5,22.5,21.5,64.3,,,,,,,,,,,,,,,,,,,3.07,9260.0,50.5,9.3,15.8,24.4,,,,,,,4.57,9972.0,17.3,49.8,32.9,,,,,,,,,,,,,2.19,6029.0,36.6,24.6,21.7,17.0,0.0,2.65,9944.0,26.1,24.6,21.2,17.1,8.4,2.6,,,,,,,2.79,6029.0,32.5,8.8,8.4,48.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.0,45.5,54.5,,,,9999.0,31.0,69.0,9999.0,65.7,34.3,,,,,,,,,,,,,,,,38.4,38.0,9043.0,9987.0,78.5,21.5,9987.0,46.0,54.0,9987.0,44.2,55.8,9987.0,79.4,20.6,9987.0,17.8,82.2,9987.0,27.7,72.3,9709.0,21.1,12.4,27.1,39.4,9940.0,32.9,46.7,16.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,53.0,9541.0,,,,,,,,,,,,,,,,
2008,32800,CES,Cooperative Election Study (CES) Common Content,1.4,6.1,30.7,0.0,6.1,48.3,82.2,3.22,40.6,38.2,26.0,20.2,19.9,26.2,33.2,10.2,35.7,25.8,23.9,32.1,61.2,67.9,38.8,25.9,15.6,6.2,52.3,1.4,0.5,57.0,5.7,92.9,,,,,,,,,,,,,,,,,,,2.83,32634.0,41.7,14.7,14.4,29.2,2.86,32617.0,24.9,27.2,36.2,11.6,,,,,,,,,,,,,,,,,,,,,,,,,3.09,32691.0,14.0,18.8,27.1,24.4,15.7,0.0,29279.0,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,44.0,23362.0,27021.0,75.4,24.6,27021.0,49.0,51.0,27021.0,50.4,49.6,27021.0,74.7,25.3,27021.0,22.2,77.8,27021.0,28.4,71.6,32701.0,18.7,21.9,59.4,0.0,32636.0,36.5,54.5,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,57.0,24827.0,,,,,,,,,,,,,,,,
2009,13800,CES,Cooperative Election Study (CES) Common Content,1.1,11.2,26.0,0.0,10.4,46.9,73.2,3.22,41.7,39.6,30.7,20.8,23.9,23.7,34.6,13.3,29.7,24.5,17.5,47.5,59.6,52.5,40.4,29.0,11.8,18.5,40.7,13.9,0.7,42.5,15.7,70.4,,,,,,,,,,,,,,,,,,,2.83,13718.0,41.2,13.1,13.6,32.1,2.94,13750.0,24.7,23.5,40.3,11.5,,,,,,,,,,,,,,,,,,2.52,13781.0,22.3,30.5,19.9,27.3,0.0,,,,,,,,,13741.0,55.8,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,55400,CES,Cooperative Election Study (CES) Common Content,1.2,11.6,41.5,2.8,7.3,48.2,74.7,3.28,44.8,37.8,31.5,20.4,23.3,26.2,29.0,11.2,30.7,24.9,20.2,44.8,55.4,55.2,44.6,23.3,8.5,21.5,46.7,21.1,1.4,23.3,25.9,53.0,,,,,,,,,,,,,,,,,,,2.92,55038.0,44.8,12.0,14.8,28.4,2.93,55273.0,24.1,23.5,40.4,12.0,,,,,,,,,,,,,,,,,,2.54,55288.0,27.9,25.1,19.4,20.1,7.6,3.11,55220.0,13.8,17.8,27.8,24.4,16.2,0.0,55158.0,57.7,42.3,,,,,,,,,,,,,,,,,,,,,,,1.98,55342.0,41.6,19.0,39.4,,,,,,,,,,,,,55400.0,38.9,61.1,,,,2263.0,25.6,74.4,55400.0,60.0,40.0,55400.0,53.1,46.9,,,,,,,,,,,,,41.1,44.0,39746.0,46684.0,81.0,19.0,46684.0,58.9,41.1,46684.0,59.9,40.1,46684.0,73.9,26.1,46684.0,25.6,74.4,46684.0,29.2,70.8,54628.0,14.8,31.1,54.1,0.0,54821.0,40.2,44.8,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,63.0,42185.0,,,,,,,,,,,,,,,,
2011,20149,CES,Cooperative Election Study (CES) Common Content,1.9,9.8,32.4,2.1,6.6,46.3,76.8,3.16,39.4,39.0,32.7,23.2,20.3,27.3,33.3,14.3,28.3,24.8,17.4,45.4,56.3,54.6,43.7,28.2,11.9,17.2,42.6,14.3,1.0,21.1,29.6,56.1,,,,,,,,,,,,,,,,,,,2.96,20149.0,46.7,12.1,14.3,26.8,2.91,20122.0,26.9,24.3,37.7,11.2,,,,,,,,,,,,,,,,,,2.42,20149.0,28.7,28.7,20.3,16.3,6.0,,,,,,,,,20149.0,60.6,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20149.0,44.9,55.1,,,,,,,20149.0,55.8,44.2,20149.0,57.3,42.7,,,,,,,,,,,,,45.6,50.0,16713.0,20149.0,84.3,15.7,20149.0,60.7,39.3,20149.0,56.9,43.1,20149.0,76.2,23.8,20149.0,28.0,72.0,20149.0,32.4,67.6,19966.0,23.6,37.3,39.1,0.0,20149.0,35.9,37.4,26.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,51.0,17253.0,,,,,,,,,,,,,,,,
2012,54535,CES,Cooperative Election Study (CES) Common Content,1.5,12.4,35.1,2.7,7.6,46.9,74.0,3.16,39.6,40.7,30.2,22.2,21.0,28.0,32.4,11.9,29.1,26.4,18.5,51.0,59.5,49.0,40.5,24.7,8.2,26.3,40.8,32.7,3.2,17.3,24.3,43.0,,,,,,,,,,,,,,,,,,,3.03,54115.0,50.1,10.5,13.3,26.1,2.82,54297.0,26.1,25.4,34.8,13.7,,,,,,,,,,,,,,,,,,2.43,54371.0,27.2,30.1,21.1,16.0,5.7,3.11,54300.0,12.1,17.7,31.7,24.6,14.0,0.0,,,,53942.0,47.9,52.1,,,,,,,,,,,,,,,,,,,,1.92,54451.0,47.0,14.1,38.9,52172.0,55.4,44.6,,,,,,,,,,54535.0,43.5,56.5,,,,54535.0,37.0,63.0,54535.0,53.6,46.4,54535.0,60.0,40.0,,,,,,,54535.0,68.1,31.9,,,,44.0,50.0,37254.0,45018.0,83.0,17.0,45018.0,63.7,36.3,45018.0,59.5,40.5,45018.0,74.5,25.5,45018.0,27.1,72.9,45018.0,36.1,63.9,53499.0,19.6,35.8,44.6,0.0,53739.0,40.6,38.8,20.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,53.0,39345.0,,,,,,,,,,,,,,,,
2013,16400,CES,Cooperative Election Study (CES) Common Content,1.7,10.9,33.2,2.5,7.7,46.2,75.1,3.07,35.2,40.3,34.9,23.3,20.5,27.7,37.2,18.7,24.8,24.4,13.1,42.9,55.1,57.1,44.9,31.4,16.3,11.5,40.8,28.7,2.8,14.0,29.4,41.9,,,,,,,,,,,,,,,,,,,3.0,16277.0,48.9,11.5,14.0,25.6,2.86,16318.0,25.9,25.6,36.3,12.2,,,,,,,,,,,,,,,,,,,,,,,,,3.02,16350.0,13.3,17.6,35.7,20.9,12.5,0.0,,,,16175.0,42.5,57.5,,,,,,,,16200.0,36.6,63.4,16320.0,13.4,86.6,16269.0,39.6,60.4,16254.0,61.3,38.7,,,,,,15827.0,46.3,53.7,,,,,,,,,,16400.0,46.5,53.5,,,,16400.0,37.1,62.9,16400.0,53.2,46.8,16400.0,63.4,36.6,,,,,,,16400.0,69.0,31.0,,,,44.4,50.0,13300.0,16400.0,85.8,14.2,16400.0,71.5,28.5,16400.0,54.9,45.1,16400.0,76.7,23.3,16400.0,29.8,70.2,16400.0,41.4,58.6,16139.0,16.5,38.0,45.5,0.0,16195.0,44.3,35.8,19.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,52.0,14151.0,,,,,,,,,,,,,,,,
2014,56200,CES,Cooperative Election Study (CES) Common Content,2.4,12.4,36.9,3.1,6.9,46.8,73.7,3.08,36.0,41.2,32.2,23.6,20.5,29.1,34.9,16.2,26.7,24.6,15.1,45.3,59.1,54.7,40.9,28.1,12.9,17.3,41.8,32.5,3.9,9.9,32.7,34.8,55421.0,33.1,66.9,55678.0,40.2,59.8,55364.0,52.7,47.3,55639.0,54.4,45.6,55465.0,52.2,47.8,,,,,,,,,,2.81,56003.0,25.2,25.3,35.0,14.5,,,,,,55406.0,51.2,48.8,55381.0,30.2,69.8,55439.0,29.4,70.6,55503.0,40.7,59.3,,,,,,,,,,,,,,,,,,,55670.0,41.1,58.9,,,,,,,,55732.0,35.5,64.5,55965.0,12.5,87.5,55866.0,42.6,57.4,55856.0,61.3,38.7,,,,,,55829.0,51.9,48.1,,,,,,,,,,56200.0,43.6,56.4,56200.0,45.6,54.4,56200.0,39.5,60.5,56200.0,52.0,48.0,56200.0,64.9,35.1,,,,,,,,,,,,,45.9,50.0,38803.0,48888.0,85.0,15.0,48888.0,63.2,36.8,48888.0,58.9,41.1,48888.0,79.8,20.2,48888.0,32.6,67.4,48888.0,39.0,61.0,55375.0,21.1,33.6,45.3,0.0,55563.0,42.4,37.4,20.2,0.0,2.19,48601.0,32.7,28.6,29.5,5.5,3.6,2.5,48626.0,22.2,26.6,36.3,8.9,6.1,2.37,48545.0,20.6,30.7,41.2,5.6,1.9,2.54,48552.0,14.8,30.0,44.8,7.3,3.0,59.1,55.0,40985.0,3.26,48648.0,8.3,14.4,38.7,19.6,18.9,,,,,,,,,
2015,14250,CES,Cooperative Election Study (CES) Common Content,1.8,12.0,26.0,3.2,8.9,45.1,72.6,3.07,36.0,41.4,31.0,23.2,19.4,30.3,33.7,16.0,27.6,25.4,16.1,47.4,58.7,52.6,41.3,26.7,11.2,20.7,41.4,34.8,6.6,14.0,30.2,34.9,14067.0,31.2,68.8,14107.0,43.9,56.1,14069.0,55.6,44.4,14102.0,51.4,48.6,14059.0,50.0,50.0,14036.0,81.5,18.5,,,,,,,,,,,,,,,,,,14047.0,46.0,54.0,14047.0,36.1,63.9,14064.0,31.5,68.5,14077.0,38.6,61.4,,,,,,,,,,,,,,,,,,,14089.0,41.5,58.5,,,,,,,,14155.0,36.8,63.2,14174.0,13.0,87.0,14154.0,40.6,59.4,14156.0,59.0,41.0,,,,,,14047.0,43.9,56.1,,,,,,,,,,14250.0,46.7,53.3,14250.0,49.7,50.3,14250.0,41.1,58.9,14250.0,49.8,50.2,14250.0,64.6,35.4,,,,,,,,,,,,,46.0,50.0,10623.0,14250.0,84.4,15.6,14250.0,56.8,43.2,14250.0,52.9,47.1,14250.0,78.8,21.2,14250.0,27.5,72.5,14250.0,30.9,69.1,14088.0,22.9,35.1,42.0,0.0,14017.0,39.4,39.6,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.8,52.0,10994.0,,,,,,,,,,,,,,,,
2016,64600,CES,Cooperative Election Study (CES) Common Content,3.5,12.3,36.2,3.5,8.1,45.7,71.7,3.0,32.4,42.6,31.2,23.8,19.8,30.7,36.8,16.8,26.2,26.0,13.6,54.8,57.5,45.2,42.5,24.0,10.7,30.8,34.5,31.6,5.3,9.6,35.0,33.4,64518.0,39.5,60.5,64538.0,38.3,61.7,64508.0,54.1,45.9,64538.0,56.4,43.6,64538.0,54.7,45.3,64513.0,84.3,15.7,,,,,,,,,,,,,,,,,,64547.0,41.6,58.4,64540.0,31.9,68.1,64544.0,30.2,69.8,64534.0,35.8,64.2,,,,,,,,,,,,,,,,,,,64125.0,34.9,65.1,,,,,,,,64151.0,33.6,66.4,64385.0,9.7,90.3,64217.0,40.9,59.1,64223.0,62.3,37.7,,,,,,64509.0,46.2,53.8,,,,,,,,,,64600.0,50.7,49.3,64600.0,59.4,40.6,13269.0,35.4,64.6,64600.0,44.0,56.0,,,,,,,,,,,,,,,,46.7,50.0,42663.0,52899.0,85.1,14.9,52899.0,61.2,38.8,52899.0,54.3,45.7,52899.0,82.0,18.0,52899.0,28.2,71.8,52899.0,35.2,64.8,,,,,,,,,,,2.16,52732.0,34.4,28.7,27.4,5.7,3.7,2.41,52754.0,25.7,28.0,31.8,8.6,5.9,2.22,52727.0,26.1,33.8,33.7,4.6,1.7,2.35,52692.0,21.5,33.1,36.9,5.8,2.7,57.5,52.0,45090.0,3.25,52760.0,9.5,14.5,37.0,19.3,19.7,,,,,,,,,
2017,18200,CES,Cooperative Election Study (CES) Common Content,1.9,12.1,31.9,4.1,13.8,42.6,66.5,3.0,34.1,41.5,32.5,23.9,18.2,32.9,33.0,18.2,26.0,25.0,14.7,38.3,58.3,61.7,41.7,17.3,9.5,21.0,52.2,43.5,12.6,6.4,33.8,22.7,18181.0,35.8,64.2,18185.0,40.9,59.1,18181.0,57.5,42.5,18185.0,54.8,45.2,18182.0,54.6,45.4,18184.0,82.8,17.2,,,,,,,,,,,,,,,,,,18184.0,37.2,62.8,18182.0,32.3,67.7,18187.0,31.1,68.9,18190.0,34.4,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18185.0,30.0,70.0,18188.0,9.4,90.6,18186.0,45.4,54.6,18188.0,62.5,37.5,,,,,,18046.0,55.5,44.5,,,,,,,,,,18200.0,57.4,42.6,18200.0,62.8,37.2,18200.0,49.4,50.6,18200.0,44.0,56.0,18200.0,72.1,27.9,,,,18200.0,61.6,38.4,,,,18200.0,72.1,27.9,46.9,50.0,13385.0,,,,,,,,,,,,,,,,,,,17988.0,22.4,38.6,39.0,0.0,17999.0,43.6,35.4,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,51.0,14169.0,,,,,,,,,,,,,,,,
2018,60000,CES,Cooperative Election Study (CES) Common Content,3.0,9.4,37.6,3.4,8.3,43.0,75.0,3.01,35.1,39.6,30.8,23.1,20.2,33.4,31.5,14.7,29.6,24.6,17.4,42.0,57.4,58.0,42.6,16.2,9.0,25.8,49.0,47.6,20.8,5.9,29.7,22.7,59914.0,36.1,63.9,59901.0,40.3,59.7,59898.0,59.4,40.6,59937.0,56.6,43.4,59931.0,56.1,43.9,59909.0,84.6,15.4,,,,,,,,,,,,,,,,,,51544.0,41.6,58.4,51483.0,34.6,65.4,51501.0,67.9,32.1,51524.0,38.7,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59564.0,34.4,65.6,59717.0,9.6,90.4,,,,59590.0,65.5,34.5,,,,,,59926.0,58.5,41.5,,,,59917.0,31.1,68.9,,,,,,,,,,,,,,,,,,,58666.0,57.8,42.2,59945.0,53.6,46.4,,,,59685.0,59.2,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,51647.0,42.4,28.0,22.9,3.9,2.9,2.1,51670.0,38.4,27.3,24.6,5.5,4.2,2.02,51636.0,32.7,36.8,26.8,2.5,1.1,2.32,51620.0,22.8,33.5,35.7,5.2,2.7,,,,3.03,51689.0,12.4,19.3,36.5,16.2,15.5,59853.0,51.9,48.1,59875.0,64.7,35.3,59881.0,51.1,48.9
2019,18000,CES,Cooperative Election Study (CES) Common Content,2.6,10.8,32.3,1.6,12.4,43.6,69.5,3.01,35.0,40.1,29.6,21.1,17.6,33.8,31.2,15.3,30.3,26.4,19.5,42.6,59.5,57.4,40.5,14.1,7.9,28.6,49.5,35.9,11.8,4.8,47.5,16.7,17989.0,39.4,60.6,17908.0,43.8,56.2,17967.0,57.9,42.1,,,,17990.0,49.3,50.7,17979.0,81.4,18.6,,,,,,,,,,,,,,,,,,17985.0,38.3,61.7,17977.0,32.5,67.5,,,,17981.0,35.9,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17978.0,37.8,62.2,17993.0,14.0,86.0,,,,17992.0,61.0,39.0,,,,,,17850.0,53.2,46.8,17845.0,62.2,37.8,17842.0,45.6,54.4,17861.0,43.4,56.6,17871.0,32.8,67.2,,,,,,,17908.0,35.0,65.0,,,,17849.0,61.0,39.0,17900.0,54.1,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17669.0,49.8,50.2,17635.0,66.4,33.6,17701.0,48.4,51.6
2020,61000,CES,Cooperative Election Study (CES) Common Content,3.0,11.4,36.9,2.9,8.5,42.3,72.3,2.94,31.2,41.3,31.1,22.8,17.4,34.6,34.2,15.1,27.6,27.3,17.4,39.3,56.4,60.7,43.6,14.5,7.1,24.8,53.7,19.2,8.5,43.1,9.3,71.5,60976.0,44.3,55.7,60982.0,38.9,61.1,60979.0,57.5,42.5,60980.0,60.3,39.7,60982.0,58.6,41.4,60972.0,84.0,16.0,,,,,,,,,,,,,,,,,,60986.0,36.1,63.9,60981.0,30.1,69.9,60975.0,31.5,68.5,60986.0,33.3,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60986.0,35.7,64.3,,,,60985.0,46.1,53.9,60984.0,64.2,35.8,,,,,,60856.0,59.1,40.9,60888.0,58.3,41.7,60901.0,35.7,64.3,60881.0,38.9,61.1,60952.0,42.1,57.9,,,,,,,60944.0,29.0,71.0,,,,60924.0,62.7,37.3,60953.0,57.5,42.5,,,,60946.0,60.8,39.2,48.0,50.0,40421.0,51551.0,79.9,20.1,51551.0,52.0,48.0,51551.0,50.4,49.6,51551.0,81.3,18.7,51551.0,23.1,76.9,51551.0,38.0,62.0,,,,,,,,,,,2.05,51546.0,40.2,26.0,25.9,4.6,3.3,2.03,51547.0,41.4,24.8,26.2,4.3,3.3,2.13,51537.0,29.6,33.9,31.7,3.4,1.4,2.7,51547.0,19.9,23.6,33.0,13.7,9.8,55.6,51.0,43005.0,2.78,51547.0,18.0,21.1,37.1,12.8,11.1,60398.0,44.3,55.7,60269.0,65.3,34.7,60426.0,40.8,59.2
2021,25700,CES,Cooperative Election Study (CES) Common Content,3.0,12.6,36.2,3.8,12.0,42.1,66.5,2.94,31.6,42.7,31.3,22.2,16.7,35.1,33.3,17.5,25.9,27.7,16.0,50.5,53.7,49.5,46.3,29.5,11.0,20.9,38.5,27.7,6.5,33.4,15.1,57.2,25700.0,46.8,53.2,25700.0,36.9,63.1,25700.0,58.4,41.6,,,,,,,25700.0,82.4,17.6,,,,,,,,,,,,,,,,,,25700.0,37.4,62.6,25700.0,34.4,65.6,25700.0,34.0,66.0,25700.0,36.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25700.0,37.7,62.3,25700.0,10.5,89.5,,,,25700.0,64.8,35.2,,,,,,25700.0,58.4,41.6,25700.0,60.2,39.8,25700.0,35.6,64.4,,,,25700.0,34.6,65.4,,,,,,,25700.0,32.5,67.5,,,,,,,25700.0,55.0,45.0,,,,25700.0,57.5,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25681.0,43.2,56.8,25682.0,37.4,62.6
