What do you think is the most important problem facing this country today? <b><br>% Mentioning immigration</b>,Republicans,Independents,Democrats
1/1/2016,9%,9%,5%
2/1/2016,15%,7%,8%
3/1/2016,12%,7%,7%
4/1/2016,13%,7%,5%
5/1/2016,11%,6%,5%
6/1/2016,14%,5%,2%
7/1/2016,10%,5%,4%
8/1/2016,12%,9%,2%
9/1/2016,11%,4%,4%
10/1/2016,11%,5%,6%
11/1/2016,9%,5%,3%
12/1/2016,7%,6%,3%
1/1/2017,8%,4%,2%
2/1/2017,18%,13%,9%
3/1/2017,17%,8%,12%
4/1/2017,14%,8%,3%
5/1/2017,12%,6%,4%
6/1/2017,5%,5%,3%
7/1/2017,11%,9%,3%
8/1/2017,11%,5%,7%
9/1/2017,11%,13%,10%
10/1/2017,8%,5%,0%
11/1/2017,9%,6%,2%
12/1/2017,9%,4%,3%
1/1/2018,13%,9%,3%
2/1/2018,29%,12%,5%
3/1/2018,16%,8%,7%
4/1/2018,17%,10%,5%
5/1/2018,17%,10%,4%
6/1/2018,21%,13%,10%
7/1/2018,35%,17%,18%
8/1/2018,22%,15%,10%
9/1/2018,15%,11%,10%
10/1/2018,20%,15%,6%
11/1/2018,37%,18%,10%
12/1/2018,29%,15%,7%
1/1/2019,39%,19%,10%
2/1/2019,35%,14%,9%
3/1/2019,31%,15%,6%
4/1/2019,41%,18%,5%
5/1/2019,38%,15%,7%
6/1/2019,42%,21%,7%
7/1/2019,42%,21%,20%
8/1/2019,30%,15%,9%
9/1/2019,27%,15%,6%
10/1/2019,16%,13%,11%
11/1/2019,18%,10%,5%
12/1/2019,13%,10%,5%
1/1/2020,12%,4%,2%
2/1/2020,15%,11%,5%
3/1/2020,16%,6%,2%
4/1/2020,5%,3%,0%
5/1/2020,1%,1%,0%
6/1/2020,1%,2%,1%
7/1/2020,1%,1%,1%
8/1/2020,3%,2%,0%
9/1/2020,1%,1%,0%
10/1/2020,2%,1%,1%
11/1/2020,1%,3%,1%
12/1/2020,3%,2%,0%
1/1/2021,0%,1%,1%
2/1/2021,6%,3%,1%
3/1/2021,16%,5%,5%
4/1/2021,29%,13%,4%
5/1/2021,23%,9%,5%
6/1/2021,22%,7%,3%
7/1/2021,15%,6%,4%
8/1/2021,23%,10%,1%
9/1/2021,13%,7%,2%
10/1/2021,24%,8%,5%
11/1/2021,16%,8%,1%
12/1/2021,13%,7%,1%
1/1/2022,9%,4%,0%
2/1/2022,21%,6%,0%
3/1/2022,10%,5%,0%
4/1/2022,13%,6%,3%
5/1/2022,16%,7%,2%
6/1/2022,10%,4%,0%
7/1/2022,15%,3%,0%
8/1/2022,16%,5%,1%
9/1/2022,13%,4%,1%
10/1/2022,15%,6%,3%
11/1/2022,16%,7%,1%
1/1/2023,19%,11%,4%
2/1/2023,19%,8%,6%
3/1/2023,20%,10%,1%
4/1/2023,13%,6%,2%
5/1/2023,25%,9%,4%
6/1/2023,15%,7%,4%
7/1/2023,17%,6%,1%
8/1/2023,19%,8%,1%
9/1/2023,26%,10%,6%
10/1/2023,23%,13%,3%
11/1/2023,24%,14%,6%
12/1/2023,37%,10%,5%
1/1/2024,37%,16%,9%
2/1/2024,57%,22%,10%
3/1/2024,52%,21%,12%
4/1/2024,48%,25%,8%
5/1/2024,43%,11%,5%
6/1/2024,40%,21%,6%
7/1/2024,37%,16%,3%
8/1/2024,39%,16%,4%
9/1/2024,46%,18%,3%
10/1/2024,40%,19%,2%
11/1/2024,45%,13%,4%
12/1/2024,43%,11%,1%
1/1/2025,29%,10%,1%
2/1/2025,30%,17%,6%
3/1/2025,25%,12%,7%
4/1/2025,21%,7%,8%
5/1/2025,25%,9%,4%
6/1/2025,40%,13%,11%
7/1/2025,28%,12%,10%
8/1/2025,25%,13%,5%
9/1/2025,20%,12%,10%
10/1/2025,28%,12%,9%
11/1/2025,17%,13%,9%
12/1/2025,33%,16%,10%
1/1/2026,19%,8%,5%
2/1/2026,32%,15%,18%