year,state,measure,topic,yes_pct,no_pct,outcome
2024,Florida,Citizens,Failed,Amendment 3,"Legalizes possession of up to 3 ounces of marijuana for adults aged 21 and over, allows Medical Mari",Failed
2024,Nebraska,Citizens,Approved,Initiative 437,Legalizes the use of up to five ounces of marijuana for medical use by qualified patients.,Approved
2024,North Dakota,Legislature,Failed,Constitutional Measure 5,"Legalizes production, processing, and sale of marijuana for recreational use for adults 21 and older",Failed
2024,South Dakota,Citizens,Failed,Initiated Measure 29,"Legalizes the possession of, distribution and recreational usage of marijuana for adults 21 or older",Failed
2024,Alaska,Citizens,Failed,Ballot Measure 2,Repeals the state's top-four primaries and ranked-choice elections.,Failed
2024,Arizona,Legislature,Failed,Proposition 133,Prohibits nonpartisan primaries .,Failed
2024,Citizens,Failed,Proposition 140,"Requires majority vote to be used in general elections, and creates nonpartisan primaries.",58.7-41.3,Failed
2024,Colorado,Citizens,Failed,Proposition 131,Implements a top-four nonpartisan primary; with ranked-choice voting for the general election for st,Failed
2024,District of Columbia,Citizens,Approved,Initiative 83,Allows independent voters to participate in partisan primaries and implements ranked-choice voting.,Approved
2024,Idaho,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Citizens,Failed,Proposition 1,Implements a top-four nonpartisan primary; with ranked-choice voting for the general election for st,69.6%-30.4%,Failed
2024,Kentucky,Legislature,Approved,Amendment 1,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Missouri,Legislature,Approved,Amendment 7,"Prohibits state and local governments from allowing non-citizens to vote , and ban ranked-choice vot",Approved
2024,Montana,Citizens,Failed,CI-126,Implements top-four primaries for state and federal offices.,Failed
2024,Citizens,Failed,CI-127,Requires the state to adopt an election system where the winner must receive a majority of the vote.,60.4-39.6,Failed
2024,Nevada,Citizens,Failed,Question 3,Implements a top-five nonpartisan primary; with ranked-choice voting for the general election for st,Failed
2024,North Carolina,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Oklahoma,Legislature,Approved,State Question 834,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Oregon,Legislature,Failed,Measure 117,Implements ranked-choice voting for primary and general elections for statewide executive and federa,Failed
2024,South Carolina,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,South Dakota,Citizens,Failed,Amendment H,"Implements top-two primaries for state, county, and federal offices.",Failed
2024,Wisconsin,Legislature,Approved,Citizenship Voting Requirement,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2022,Amendment 1,Legislatively-referred constitutional amendment,Authorize $85 Million in Bonds for Public Historical Sites and State Parks Amendment Sale and issuan,Passed,,Passed
2022,Alabama Question,Legislatively-referred constitutional amendment,Alabama Recompiled Constitution Ratification Question Ratify the Constitution of Alabama of 2022 tha,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Allow Denial of Bail for Offenses Enumerated by State Legislature Amendment Authorize the Legislatur,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Broadband Internet Infrastructure Funding Amendment Allow state and local governments to fund the pr,Passed,,Passed
2022,Amendment 3,Legislatively-referred constitutional amendment,Notice to Victim's Family Required for Commutation or Reprieve of Death Sentences Amendment Requires,Passed,,Passed
2022,Amendment 4,Legislatively-referred constitutional amendment,Prohibit Changes to Election Conduct Laws within Six Months of General Elections Amendment Require a,Passed,,Passed
2022,Amendment 5,Legislatively-referred constitutional amendment,Remove Orphans' Business from Probate Court Jurisdiction Amendment Remove orphans' businesses from t,Passed,,Passed
2022,Amendment 6,Legislatively-referred constitutional amendment,Authorize Certain Cities to Use Special Property Tax Revenue to Pay for Capital Improvements Directl,Passed,,Passed
2022,Amendment 7,Legislatively-referred constitutional amendment,Local Economic and Industrial Development Bonds and Financing Amendment Change the requirement for l,Passed,,Passed
2022,Amendment 8,Legislatively-referred constitutional amendment,Public Service Commission to Regulate Private Sewer Systems in Shelby County Amendment Provide that ,Passed,,Passed
2022,Amendment 9,Legislatively-referred constitutional amendment,Public Service Commission to Regulate Private Sewer System in Lake View Amendment Provide that the S,Passed,,Passed
2022,Amendment 10,Legislatively-referred constitutional amendment,Incorporate Voter-Approved Amendments in New State Constitution Measure Authorize the Code Commissio,Passed,,Incorporate Voter-Approved Amendments in New State Constitution Measure Authorize the Code Commissio
2022,Ballot Measure 1,Automatic ballot referral,Constitutional Convention Question Hold a state constitutional convention,Failed,,Failed
2022,Proposition 128,Legislatively-referred constitutional amendment,Legislative Changes to Ballot Initiatives with Invalid Provisions Amendment Allow the Legislature to,Failed,,Failed
2022,Proposition 129,Legislatively-referred constitutional amendment,Single-Subject Requirement for Ballot Initiatives Amendment Limits citizen-initiated ballot measures,Passed,,Passed
2022,Proposition 130,Legislatively-referred constitutional amendment,Arizona Property Tax Exemptions Amendment Allows the Legislature to determine property tax exemption,Passed,,Passed
2022,Proposition 131,Legislatively-referred constitutional amendment,"Create Office of Lieutenant Governor Amendment Creates a new office of Lieutenant Governor , which i",Passed,,Passed
2022,Proposition 132,Legislatively-referred constitutional amendment,60% Vote Requirement for Ballot Measures to Approve Taxes Amendment Require at least 60% of the vote,Passed,,Passed
2022,Proposition 209,Citizen-initiated state statute,Healthcare Debt Interest Rate Limit and Debt Collection Exemptions Initiative Limit interest rates f,Passed,,Passed
2022,Proposition 211,Citizen-initiated state statute,Campaign Finance Sources Disclosure Initiative Sets new limits on campaign finance. Require addition,Passed,,Passed
2022,Proposition 308,Legislatively-referred state statute,In-State Tuition for Non-Citizen Residents Measure Repeal provisions of Proposition 300 (2006) that ,Passed,,Passed
2022,Proposition 309,Legislatively-referred state statute,Voter Identification Requirements for Mail-In Ballots and In-Person Voting Measure Require date-of-b,Failed,,Failed
2022,Proposition 310,Legislatively-referred state statute,Sales Tax for Fire District Funding Measure Impose a 0.1% sales tax for 20 years to fund Fire Distri,Failed,,Failed
2022,Issue 1,Legislatively-referred constitutional amendment,Legislative Authority to Call a Special Session Amendment Allows the Legislature to convene in an ex,Failed,,Failed
2022,Issue 2,Legislatively-referred constitutional amendment,60% Supermajority Vote Requirement for Constitutional Amendments and Ballot Initiatives Measure Requ,Failed,,Failed
2022,Issue 3,Legislatively-referred constitutional amendment,"Government Burden of Free Exercise of Religion Amendment Provide that the State Government ""shall no",Failed,,Failed
2022,Issue 4,Ballot initiative constitutional amendment,Marijuana Legalization Initiative Legalize the possession and use of up to one ounce of marijuana fo,Failed,,Failed
2022,Proposition 1,Legislatively-referred constitutional amendment,Right to Reproductive Freedom Amendment Prohibit the state government from denying or interfering wi,Passed,,Passed
2022,Proposition 26,Legislatively-referred constitutional amendment and state statute,Legalize Sports Betting on American Indian Lands Initiative Legalize sports betting at Native Americ,Failed,,Failed
2022,Proposition 27,Legislatively-referred constitutional amendment and state statute,Legalize Sports Betting and Revenue for Homelessness Prevention Fund Initiative Legalize online and ,Failed,,Failed
2022,Proposition 28,Citizen-initiated state statute,Art and Music K-12 Education Funding Initiative Require annual funding for arts and music education ,Passed,,Passed
2022,Proposition 29,Citizen-initiated state statute,Dialysis Clinic Requirements Initiative Require kidney dialysis clinics to: Have at least one physic,Failed,,Failed
2022,Proposition 30,Citizen-initiated state statute,Tax on Income Above $2 Million for Zero-Emissions Vehicles and Wildfire Prevention Initiative Increa,Failed,,Failed
2022,Proposition 31,Veto referendum on state statute,Referendum Challenging a 2020 Law Prohibiting Retail Sale Of Certain Flavored Tobacco Products Uphol,Passed,,Passed
2022,Amendment D,Legislatively-referred constitutional amendment,Designate Judges to Twenty-Third Judicial District Measure Require the Governor to designate judges ,Passed,,Passed
2022,Amendment E,Legislatively-referred constitutional amendment,Homestead Exemption to Surviving Spouses of U.S. Armed Forces Members and Veterans Measure Extend an,Passed,,Passed
2022,Amendment F,Legislatively-referred constitutional amendment,Charitable Gaming Measure Repeal the ban on paying managers and operators of charitable gaming activ,Failed,,Failed
2022,Proposition 121,Citizen-initiated state statute,State Income Tax Rate Reduction Initiative Decrease the state income tax rate from 4.55% to 4.40% fo,Passed,,Passed
2022,Proposition 122,Citizen-initiated state statute,Decriminalization and Regulated Access Program for Certain Psychedelic Plants and Fungi Initiative D,Passed,,Passed
2022,Proposition 123,Citizen-initiated state statute,Dedicate State Income Tax Revenue to Fund Housing Projects Initiative The creation of the State Affo,Passed,,Passed
2022,Proposition 124,Citizen-initiated state statute,Retail Liquor Store Licenses Initiative Increase the number of retail liquor licenses an individual ,Failed,,Failed
2022,Proposition 125,Citizen-initiated state statute,"Wine Sales in Grocery and Convenience Stores Initiative Allows grocery stores , convenience stores a",Passed,,Passed
2022,Proposition 126,Citizen-initiated state statute,Alcohol Delivery Service Initiative Allow retail establishments to offer delivery services (includin,Failed,,Failed
2022,Proposition FF,Legislatively-referred state statute,Reduce Income Tax Deduction Amounts to Fund School Meals Program Measure Reduce income tax deduction,Passed,,Passed
2022,Proposition GG,Legislatively-referred state statute,Table of Changes to Income Tax Owed Required for Citizen Initiatives Measure Require ballot initiati,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Disregard Flood Resistance Improvements in Property Value Assessments Measure Prohibit flood resista,Failed,,Failed
2022,Amendment 2,Legislatively-referred constitutional amendment,Abolish the Constitution Revision Commission Measure Abolish the Florida Constitution Revision Commi,Failed,,Failed
2022,Amendment 3,Legislatively-referred constitutional amendment,Additional Homestead Property Tax Exemption for Certain Public Service Workers Amendment Provide an ,Failed,,Failed
2022,Amendment 1,Legislatively-referred constitutional amendment,Suspend Compensation for Assembly Members and Public Officials Indicted for a Felony Measure Suspend,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Temporary Property Tax Change for Disaster Areas Measure Allow local governments to give tax relief ,Passed,,Passed
2022,Referendum A,Legislatively-referred statute,Timber Equipment Exempt from Property Taxes Measure Exempt certain timber equipment owned by a timbe,Passed,,Passed
2022,Referendum B,Legislatively-referred statute,Merged Family-Owned Farms and Dairy and Eggs Tax Exemption Measure Expand agricultural equipment tax,Passed,,Passed
2022,Advisory Ballot,Legislatively-referred constitutional amendment,Income and Corporate Tax Changes and Education Funding Question Enact a flat 5.8% income and corpora,Passed,,Passed
2022,Constitutional Amendment SJR 102,Legislatively-referred constitutional amendment,Legislative Authority to Call a Special Session Amendment Allow the Senate President and House Speak,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Right to Collective Bargaining Measure Guarantee workers the right to organize and the right to coll,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Right to Keep and Bear Arms Amendment Amends the Iowa constitution to include the right to own and b,Passed,,Passed
2022,Kansas Value Them Both Amendment,Legislatively-referred constitutional amendment,Kansas No State Constitutional Right to Abortion and Legislative Power to Regulate Abortion Amendmen,Failed,,Failed
2022,Amendment 1,Legislatively-referred constitutional amendment,Legislative Veto or Suspension of Executive Agency Regulations Amendment Authorizes the Legislature ,Failed,,Failed
2022,Amendment 2,Legislatively-referred constitutional amendment,County Sheriff Election and Recall Amendment Requires the election of county sheriffs in counties th,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Changes to Legislative Session End Dates and Special Sessions Amendment Require the Legislature to h,Failed,,Failed
2022,Amendment 2,Legislatively-referred constitutional amendment,No Right to Abortion in Constitution Amendment Change the state constitution to state that nothing i,Failed,,Failed
2022,Amendment 1,Legislatively-referred constitutional amendment,Increase Maximum Amount Invested in Equities for Certain State Funds Measure Increase the portion of,Failed,,Failed
2022,Amendment 2,Legislatively-referred constitutional amendment,Property Tax Exemptions for Certain Disabled Veterans and Spouses Measure Expand property tax exempt,Passed,,Passed
2022,Amendment 3,Legislatively-referred constitutional amendment,Classified Civil Service Employee Public Support of Family Members' Campaigns Measure Allow civil se,Failed,,Failed
2022,Amendment 4,Legislatively-referred constitutional amendment,Waiving Water Charges Measure Waives water charges to customer if they were not caused by the action,Passed,,Passed
2022,Amendment 5,Legislatively-referred constitutional amendment,Adjustment of Ad Valorem Tax Rates Measure Provide that property tax rates can be increased by a two,Failed,,Failed
2022,Amendment 6,Legislatively-referred constitutional amendment,Limit on Assessed Value Increase of Reappraised Property in Orleans Parish Measure Limit yearly incr,Failed,,Failed
2022,Amendment 7,Legislatively-referred constitutional amendment,Remove Involuntary Servitude as Punishment for a Crime from Constitution Measure Remove language in ,Failed,,Failed
2022,Amendment 8,Legislatively-referred constitutional amendment,Remove Special Assessment Property Tax Annual Income Recertification for Permanently Disabled Homeow,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Citizen Requirement for Voting Measure Mandate that only United States citizens are allowed to regis,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Senate Confirmation for Appointees to State Civil Service Commission Measure Require Senate confirma,Passed,,Passed
2022,Amendment 3,Legislatively-referred constitutional amendment,Senate Confirmation for Appointees to State Police Commission Measure Require Senate confirmation fo,Passed,,Passed
2022,Question 1,Legislatively-referred constitutional amendment,Renaming of the Courts of Appeals and Special Appeals Amendment Change the name of the Maryland Cour,Passed,,Passed
2022,Question 2,Legislatively-referred constitutional amendment,Residency Requirements for State Legislators Amendment Require state legislative candidates to live ,Passed,,Passed
2022,Question 3,Legislatively-referred constitutional amendment,"Civil Jury Trials Amendment Raise the state's jury trial threshold from $15,000 to $25,000.",Passed,,Passed
2022,Question 4,Legislatively-referred constitutional amendment,"Marijuana Legalization Amendment Legalizes and taxes cannabis for adult use, effective July 1, 2023.",Passed,,Passed
2022,Question 5,Legislatively-referred constitutional amendment,Requiring Howard County Circuit Court Judges to Serve on Orphan Court Amendment Require Howard Count,Passed,,Passed
2022,Question 1,Legislatively-referred constitutional amendment,Tax on Income Above $1 Million for Education and Transportation Amendment A new 4% tax on incomes ab,Passed,,Passed
2022,Question 2,Citizen-initiated state statute,Medical Loss Ratios for Dental Insurance Plans Initiative Enact a medical loss ratio of 83% for dent,Passed,,Passed
2022,Question 3,Citizen-initiated state statute,Changes to Alcohol Retail Licensing Initiative Change the number of alcohol licenses an establishmen,Failed,,Failed
2022,Question 4,Veto referendum,Remove Proof of Citizenship or Immigration Status for Driver's License Applications Referendum Maint,Passed,,Passed
2022,Proposal 1,Legislatively-referred constitutional amendment,Legislative Term Limits and Financial Disclosure Amendment. Change term limits in the Michigan state,Passed,,Passed
2022,Proposal 2,Citizen-initiated constitutional amendment,Right to Voting Policies Amendment Change voting procedures in the state with the intent of making i,Passed,,Passed
2022,Proposal 3,Citizen-initiated constitutional amendment,"Right to Reproductive Freedom Initiative Protect the right to make decisions on prenatal care, child",Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,State Treasurer Investment Authority Amendment Change how the State Treasurer of Missouri is allowed,Failed,,Failed
2022,Amendment 3,Citizen-initiated constitutional amendment,"Marijuana Legalization Initiative Legalize the possession, consumption, manufacture, sale and delive",Passed,,Passed
2022,Amendment 4,legislatively-referred constitutional amendment,Allow Legislature to Require a City to Increase Funding without State Reimbursement for a Police For,Passed,,Passed
2022,Amendment 5,legislatively-referred constitutional amendment,Department of the National Guard Amendment Makes the Missouri National Guard its own department and ,Passed,,Passed
2022,Question,Automatic ballot referral,Missouri Constitutional Convention Question Hold a state constitutional convention .,Failed,,Failed
2022,C-48,Legislatively-referred constitutional amendment,Search Warrant for Electronic Data Amendment Require a search warrant to access a person's electroni,Passed,,Passed
2022,LR-131,Legislatively-referred state statute,Medical Care Requirements for Born-Alive Infants Measure Classify infants born alive after an attemp,Failed,,Failed
2022,Amendment 1,Legislatively-referred constitutional amendment,Authorize Local Governments to Develop Commercial Air Travel Service Amendment Allow local governmen,Passed,,Passed
2022,Initiative 432,Citizen-initiated constitutional amendment,Photo Voter Identification Initiative Require photo identification in order to vote. Valid identific,Passed,,Passed
2022,Initiative 433,Citizen-initiated constitutional amendment,Minimum Wage Increase Initiative Raise the minimum wage of Nebraska to $9 per hour in 2023. Incremen,Passed,,Passed
2022,Question 1,Legislatively-referred constitutional amendment,Equal Rights Amendment Amend the state constitution to prohibit discrimination based on an individua,Passed,,Passed
2022,Question 2,Legislatively-referred constitutional amendment,Minimum Wage Amendment Increase the minimum wage to $12.00 per hour by July 2024. Allow the state le,Passed,,Passed
2022,Question 3,Citizen-initiated constitutional amendment,Top-Five Ranked Choice Voting Initiative Abolish partisan primaries for federal and state offices. H,Passed,,Passed
2022,Question,Automatic ballot referral,New Hampshire Constitutional Convention Question (2022) The holding of a state constitutional conven,Failed,,Failed
2022,Question 1,Legislatively-referred constitutional amendment,Abolish Office of Register of Probate Amendment Eliminate the Office of Register of Probate and any ,Failed,,Failed
2022,Bond Question 1,Bond issue,"Senior Citizens Facilities Bond Issue Sale and issuance of $24,470,000 in bonds for the improving of",Passed,,Passed
2022,Bond Question 2,Bond issue,"Public Libraries Bond Issue Sale and issuance of $19,266,000 in bonds for the improving of public li",Passed,,Passed
2022,Bond Question 3,Bond issue,"Public Education Bond Issue Sale and issuance of $215,986,000 in bonds for the improving of certain ",Passed,,Passed
2022,Constitutional Amendment 1,Legislatively-referred constitutional amendment,Funding for Early Childhood Programs Amendment Allocate 1.25% of the five-year average of year-end m,Passed,.,Passed
2022,Constitutional Amendment 2,Legislatively-referred constitutional amendment,Authorizing Funds for Residential Services Infrastructure Amendment Allow appropriate state funds to,Passed,,Passed
2022,Constitutional Amendment 3,Legislatively-referred constitutional amendment,Appointed Judge Elections Amendment Appointed judges will remain in office for at least a year befor,Passed,,Passed
2022,Proposal 1,Legislatively-referred state statute,Environmental Bond Measure Sale and issuance of $4.20 billion in state bonds for funding projects cl,Passed,,Passed
2022,Constitutional Measure 1,Citizen-initiated constitutional amendment,Term Limits for Governor and State Legislators Initiative Limit the Governor to serving two four-yea,Passed,,Passed
2022,Statutory Measure 2,Citizen-initiated state statute,Marijuana Legalization Initiative Legalize the use and possession of up to one ounce of marijuana fo,Failed,,Failed
2022,Issue 1,Legislatively-referred constitutional amendment,Determining Bail Amount Based on Public Safety Amendment Require consideration of public safety in t,Passed,,Passed
2022,Issue 2,Legislatively-referred constitutional amendment,Citizenship Voting Requirement Amendment Prohibit local governments from allowing non-citizens or th,Passed,,Passed
2022,Measure 111,Legislatively-referred constitutional amendment,Right to Healthcare Amendment Amends the Oregon Constitution to ensure access to cost-effective and ,Passed,,Passed
2022,Measure 112,Legislatively-referred constitutional amendment,Remove Slavery as Punishment for Crime from Constitution Amendment Removes language from the Oregon ,Passed,,Passed
2022,Measure 113,Citizen-initiated constitutional amendment,Exclusion from Re-election for Legislative Absenteeism Initiative Disqualify legislators for re-elec,Passed,,Passed
2022,Measure 114,Citizen-initiated state statute,Changes to Firearm Ownership and Purchase Requirements Initiative Require permits from local law enf,Passed,,Passed
2022,Question 1,Bond Issue,University Narragansett Bay Campus Bond Measure Sale and issuance of $100 million in bonds for fundi,Passed,,Passed
2022,Question 2,Bond Issue,Public School Buildings Bond Measure Sale and issuance of $250 million in bonds for construction and,Passed,,Passed
2022,Question 3,Bond Issue,Environment and Recreation Bond Measure Sale and issuance of $50 million in bonds for environmental ,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,General Reserve Fund Increase Measure Increase the funds the General Reserve Fund receives from the ,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Capital Reserve Fund Increase Measure Increase the funds the Capital Reserve Fund receives from the ,Passed,,Passed
2022,Constitutional Amendment C,Legislatively-referred constitutional amendment,60% Vote Requirement for Ballot Measures Increasing Taxes or Appropriating $10 Million Amendment Req,Failed,,Failed
2022,Constitutional Amendment D,Legislatively-referred constitutional amendment,Medicaid Expansion Initiative Require the state to expand Medicaid coverage for adults between the a,Passed,,Passed
2022,Initiated Measure 27,Legislatively-referred state statute,"Marijuana Legalization Initiative Legalize the possession, distribution, and use of marijuana for pe",Failed,,Failed
2022,Amendment 1,Legislatively-referred constitutional amendment,Right-to-Work Amendment Make it illegal for employers to mandate labor union membership for employee,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Acting Governor Amendment Provide a process and line of succession for an acting Governor when and i,Passed,,Passed
2022,Amendment 3,Legislatively-referred constitutional amendment,Remove Slavery as Punishment for Crime from Constitution Amendment Remove language from the Tennesse,Passed,,Passed
2022,Amendment 4,Legislatively-referred constitutional amendment,Remove Religious Minister Disqualification Amendment Remove a section of the Tennessee Constitution ,Passed,,Passed
2022,Proposition 1,Legislatively-referred constitutional amendment,Property Tax Limit Reduction for Elderly and Disabled Residents Amendment Allow the Legislature to l,Passed,,Passed
2022,Proposition 2,Legislatively-referred constitutional amendment,Increased Homestead Exemption for School District Property Taxes Amendment Increase homestead exempt,Passed,,Passed
2022,Constitutional Amendment A,Legislatively-referred constitutional amendment,Emergency Session Appropriation Limits Measure Increases the approprations limit of an emergency ses,Failed,,Failed
2022,Proposal 2,Legislatively-referred constitutional amendment,Prohibit Slavery and Indentured Servitude Amendment Removes language in the State Constitution that ,Passed,,Passed
2022,Proposal 5,Legislatively-referred constitutional amendment,Right to Personal Reproductive Autonomy Amendment Protects the right to personal reproductive autono,Passed,,Passed
2022,Advisory Vote 39,Advisory Question,Aircraft Fuel Tax Increase Nonbinding Question Maintain a tax increase on aircraft from 11 cents per,Repealed,,
2022,Advisory Vote 40,Advisory Question,Transportation Network Companies Tax Nonbinding Question Maintain a tax on transportation network co,Repealed,,
2022,Initiative 82,Citizen-initiated statute,Increase Minimum Wage for Tipped Employees Measure Phase out the minimum wage exemption for tipped e,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,No Court Authority over Impeachment Amendment Prohibit state courts from having authority over impea,Failed,,Failed
2022,Amendment 2,Legislatively-referred constitutional amendment,Authorize Tax Exemptions for Vehicles and Personal Property Used for Business Amendment Authorize th,Failed,,Failed
2022,Amendment 3,Legislatively-referred constitutional amendment,Incorporation of Religious Denominations and Churches Amendment Allow the West Virginia Legislature ,Failed,,Failed
2022,Amendment 4,Legislatively-referred constitutional amendment,Legislative Approval of the State Board of Education Rules Amendment Require the West Virginia Board,Failed,,Failed
2022,Constitutional Amendment A,Legislatively-referred constitutional amendment,Local Government Stock Investing Amendment Allow the Wyoming Legislature to provide that local gover,Passed,,Passed
2022,Constitutional Amendment B,Legislatively-referred constitutional amendment,Judicial Retirement Age Measure Increase the retirement age for state supreme court justices and dis,Failed,,Failed
